id,name,dtype,typecode,address,tel,adname,marlon,marlat,wgs84lon,wgs84lat,big_category,medium_category,small_category
B0FFGAR5RR,萧山农业大厦(西门),通行设施;建筑物门;建筑物正门,991001.0,市心北路828号,[],萧山区,120.269191,30.220587,120.2647256789999,30.223037013592563,通行设施,建筑物门,建筑物正门
B0FFGZFUE0,萧山图书馆盈一村分馆(南门),通行设施;建筑物门;建筑物正门,991001.0,鸿宁路与鸿达路交叉口南100米萧山图书馆盈一村分馆附近,[],萧山区,120.261006,30.235971,120.25653885463836,30.238424724811228,通行设施,建筑物门,建筑物正门
B0FFIIXNSK,无障碍电梯(飞虹路站地铁站B口),通行设施;特殊通道;无障碍电梯,991601.0,飞虹路站地铁站B口,[],萧山区,120.263109,30.231539,120.2586426380259,30.233992050675152,通行设施,特殊通道,无障碍电梯
B0FFIJ2419,无障碍电梯(振宁路地铁站B口),通行设施;特殊通道;无障碍电梯,991601.0,振宁路地铁站B口,[],萧山区,120.268636,30.219009,120.264170859871,30.221459507646493,通行设施,特殊通道,无障碍电梯
B0FFGAR2TW,利二花苑(西北1门),通行设施;临街院门;临街院门,991400.0,利二路杭州奥体博览城利二花苑西门,[],萧山区,120.24326,30.236002,120.23878148516371,30.23845740057588,通行设施,临街院门,临街院门
B0FFH8DQNZ,浙江民营企业发展大厦A座(东南门),通行设施;建筑物门;建筑物正门,991001.0,民和路496号附近,[],萧山区,120.256305,30.230905,120.25183662593292,30.23336068036224,通行设施,建筑物门,建筑物正门
B0FFH8DC32,浙江民营企业发展大厦B座(南正门),通行设施;建筑物门;建筑物正门,991001.0,富业巷21,[],萧山区,120.256925,30.231506,120.25245684949223,30.23396147537739,通行设施,建筑物门,建筑物正门
B0FFHS0SSL,国泰科技大厦(正门),通行设施;建筑物门;建筑物正门,991001.0,民和路467,[],萧山区,120.255871,30.229283,120.25140255758262,30.23173889604873,通行设施,建筑物门,建筑物正门
B0FFH8DL6X,祥腾财富中心(东南门),通行设施;建筑物门;建筑物门,991000.0,利丰路与民和路交叉口北150米,[],萧山区,120.25675,30.230407,120.25228186418278,30.23286259790768,通行设施,建筑物门,建筑物门
B0FFHJT0H4,祥腾财富中心(西北门),通行设施;建筑物门;建筑物正门,991001.0,民和路490号附近,[],萧山区,120.256584,30.230512,120.25211578294814,30.232967635031333,通行设施,建筑物门,建筑物正门
