e_name,e_category,e_type
Mona  FLower,亲子 更多亲子服务,0
淋浴房滑动门不锈钢,家装 家用五金,0
万禹汇美食广场,生活服务 更多生活服务,0
江东锦秀,生活服务 小区,1
秋蜀记麻辣香锅,美食 干锅/香锅,0
雅迪电动车,购物 自行/电动车及配件,0
津津有味,美食 快餐简餐,0
鲍江南,美食 快餐简餐,0
淮南牛肉汤,美食 面馆,0
科威国际不动产,生活服务 房产中介,0
崇文理想国幼儿园,教育培训 幼儿园,0
轩博网络,休闲娱乐 网吧/电竞,0
水果直销,美食 水果店,0
杭州信核数据科技股份有限公司,生活服务 公司企业,0
小李音乐工作室,教育培训 音乐,0
珏品设计师酒店,酒店 高档型,0
浙江萧星置业有限公司,生活服务 房产中介,0
丰盛建材研究所,生活服务 政府机构,0
顺发和美家,生活服务 商务楼,1
钱江世纪城东区,生活服务 小区,1
振宁路地铁站，精装修,其它 榛果民宿,0
杭州思维装饰工程有限公司,家装 装修设计,0
万和国际,生活服务 小区,1
顺发·和美家停车场,爱车 停车场,0
昊然石材,家装 瓷砖石材,0
顺丰房产,生活服务 房产中介,0
瑞幸咖啡,美食 咖啡厅,0
当天财富,生活服务 更多生活服务,0
沈娟女装店,购物 服装,0
秀妍韩式持久装,美食 韩国料理,0
罗森,购物 超市/便利店,0
豪业造型,丽人 美发,0
祥亨土特产商行,美食 更多食品保健,0
丰东果园,美食 水果店,0
朵朵视觉造型工作室,丽人 美发,0
杭州滨江小明的民宿,酒店 民宿,0
INCHA印茶,美食 茶饮果汁,0
三宏国际,生活服务 商务楼,1
阿宝烟酒,购物 烟酒茶叶,0
杭州双盈供应链科技有限公司,生活服务 公司企业,0
【清莉民宿】奥体国际博览中心钱江世纪城loft复式三房,其它 榛果民宿,0
佳丰北苑,生活服务 小区,1
皮皮炒饭,美食 快餐简餐,0
大叔的loft的民宿,酒店 民宿,0
佳境天城人合苑,生活服务 小区,1
利一家园停车场,爱车 停车场,0
馨芙瑜伽普拉提,丽人 瑜伽,0
新胜小吃,美食 快餐简餐,0
融创时代奥城,生活服务 小区,1
沐沐会所,丽人 SPA美体,0
都市萧夜烧烤,美食 烤串,0
港汇中心,生活服务 商务楼,1
萧山区宁围镇第三小学,教育培训 小学,0
膜法传奇1853,丽人 化妆品,0
悦宿的民宿,酒店 民宿,0
响亮婴幼公学,教育培训 更多教育培训,0
易帆电机,购物 办公/文化用品,0
振宁路民和路口公交站,其它 公交车,1
佳丰北苑停车场,爱车 停车场,0
怡陆客便利店,购物 超市/便利店,0
浙江锐正电子科技有限公司,生活服务 公司企业,0
小桑树专业烫染,丽人 美发,0
口口香东北饺子馆,美食 饺子,0
泥巴公社装饰,家装 家饰餐厨,0
24h团,美食 水果店,0
同寿堂药房,医疗健康 药店,0
省妇保钱江院区,生活服务 小区,1
港丽.望京,生活服务 商务楼,1
康缇雅美容,丽人 SPA美体,0
铁军的家住宿,酒店 经济型,0
恒彩装饰,家装 全包装修,0
