dp_id,dp_name,dp_latitude,dp_longitude,dp_address,dp_phone,dp_category,mt_id,mt_name,mt_latitude,mt_longitude,mt_address,mt_phone,mt_category,label
5743445,兰州拉面,31.936509,118.81563,胜太路 近同曦万尚城,13814010152,美食 黄焖鸡,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
6029884,兰州拉面,31.935684,118.803827,通淮街159号 近颐秀居,,美食 面馆,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
16839120,正宗兰州拉面,31.944704,118.814228,胜太路61号,,美食 其他中餐,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
23634512,兰州拉面,31.930618,118.804274,通淮街351号 消防大队斜对面,13915971545,美食 面馆,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
59157014,清真兰州拉面,31.93829,118.80039,利源中路平泰街88号,15895942695,美食 其他中餐,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
66906646,中国化隆拉面,31.932344,118.803987,开发区通淮街321号76-78,13813036614,美食 特色菜,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
67128433,中国兰州牛肉拉面,31.94523,118.815972,秣陵街道胜太路挹淮街7号,18502516110,美食 面馆,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
81260975,清真兰州拉面,31.941818,118.802752,江宁开发区通淮街53-11,17625992227,美食 面馆,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
82877058,兰州拉面,31.944018,118.81063,胜太五路与胜太路交叉口东南50米,,美食 面馆,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
83502541,兰州拉面,31.938532,118.806169,平泰街与利源中路交叉口旁,17714187376,美食 其他中餐,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
97477084,兰州拉面,31.938413,118.806243,秣陵街道利源中路88号高尔夫国际花园1幢106室,17714187376,美食 面馆,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
124349731,中国华隆拉面,31.938291,118.800213,平泰街雅迪电动车旁,18651656336,美食 面馆,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
131361225,中国兰州牛肉拉面,31.931393,118.790099,将军大道33号,,美食 面馆,8401035,中国兰州拉面,31.937369,118.803831,秣陵街道将军大道129号翠屏湾花园3幢109,15120519166,美食 中式拉面,0
19368648,华莱士,31.944358,118.785413,将军大道9号托乐嘉乐尚天地步行街1层,,美食 西式简餐,15685,华莱士·全鸡汉堡（托乐嘉店）,31.944,118.7848,江宁区将军大道托乐嘉花园01栋143室,02552123102;15250950919,美食 汉堡,1
11577937,钱塘园,31.944056,118.784967,将军大道9号布丁酒店对面,15905143418,美食 苏浙菜,15694,钱塘园,31.943668,118.78831,江宁区,15905143418,美食 小龙虾,1
19215071,苏客,31.942856,118.78745,南航北门,52126377,美食 快餐简餐,15699,苏客∙快餐家常菜（将军大道店）,31.942978,118.785606,南京市江宁开发区将军大道9号（华润苏果一楼）,2552126377,美食 其他饭类套餐,1
63231443,天尝里哩脊串,31.94359,118.82198,胜太东路8号同曦假日百货B1层,,美食 快餐简餐,8407543,天尝哩脊肉串（金鹰店）,31.932031,118.82093,南京市江宁区秣陵街道双龙大道1688号江宁金鹰购物广场B2层AB2-00355,17327090326,美食 烤物类小吃,0
