id,province,city,district,name,score,comment_number,month_sales,avg_price,category,image,delivery_time,delivery_tip,delivery_type,min_price,shipping_fee,phone,address,lat,lng,hours,discounts,tip,recommend,trade_area,buz_code,is_online,menu_categories
8401035,江苏省,南京市,江宁区,中国兰州拉面,4.8,182.0,月售700+,人均 ¥20,美食 中式拉面,http://p0.meituan.net/waimaipoi/33a6f073ebc49e340268c276f188aa8228672.jpg,34分钟,由美团快送提供配送服务,0.0,起送 ¥15,配送 ¥3.5,15120519166,秣陵街道将军大道129号翠屏湾花园3幢109,31.937369,118.803831,07:35-21:59,"新用户立减13元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元;满29减1;满59减3;满79减5;满99减8;折扣商品8.5折起;满20元赠送干食品赠送牛肉汤",有问题联系店家本店清真食品，牛肉面，水饺，黄焖鸡米饭，,“还是和以前一样好吃”,,0.0,True,热销;折扣;黄焖鸡米饭;炒面类;炒饭类;汤面类;盖浇饭类;新疆大盘鸡;盖浇面类;牛肉泡馍/水饺;另加;西北小炒;饮料类
15685,江苏省,南京市,浦口区,华莱士·全鸡汉堡（托乐嘉店）,4.7,1959.0,月售2248,人均 ¥20,美食 汉堡,http://p0.meituan.net/waimaipoi/ffe0cc797f3d07eafd7e46e04ae0931c579789.png,34分钟,,1.0,起送 ¥20,配送 ¥0.5,02552123102;15250950919,江宁区将军大道托乐嘉花园01栋143室,31.944,118.7848,10:00-21:00,满30减20;满45减28;满65减35;满79减40;折扣商品1折起;实际支付3元返2元商家代金券,"华莱士全鸡汉堡,全国门店一万家|全鸡配汉堡,华莱士吃好！",“口味好，服务周到”,将军山,0.0,True,折扣;汉堡肉卷;新品尝鲜🔥🔥🔥;倾心饮品;缤纷小食;超值套餐;折扣套餐🍱🍱🍱;大满减套餐
15694,江苏省,南京市,江宁区,钱塘园,0.0,2.0,月售0,,美食 小龙虾,http://p0.meituan.net/waimaipoi/08b2046a722cfe4ac32908febbfbf71d49152.jpg,35分钟,,0.0,起送 ¥25,配送 ¥6,15905143418,江宁区,31.943668,118.78831,"08:30-15:00,16:00-22:00",,支持开发票，开票订单金额最低100元起，请在下单时填好发票台头。。,"“挺好吃的,肉片煮的挺嫩的”",托乐嘉,0.0,False,钱塘园特色
15699,江苏省,南京市,江宁区,苏客∙快餐家常菜（将军大道店）,4.5,9065.0,月售3048,人均 ¥19,美食 其他饭类套餐,http://p1.meituan.net/waimaipoi/e0bee8a9746d661330ccafc05971b1ea219489.png,30分钟,,1.0,起送 ¥15,配送 ¥1.5,02552126377,南京市江宁开发区将军大道9号（华润苏果一楼）,31.942978,118.785606,"07:00-09:30,10:00-14:30,16:30-20:30","新用户立减8元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元;满25减8;满39减12;满59减15;折扣商品5折起",公司总部投诉电话:151958809031.如果您收到餐后不满意，请致电:025-52126377或15380806212，我们一定会给您一个满意的答复！2.苏客致力于做更放心的快餐品牌为了保证您的 健康饮食所以产品不隔餐，当餐即废弃,“味道不错哎，值得推荐”,将军山,0.0,True,营养早餐Meal;折扣;精选组合Mergr;爆款折扣Hot;家常现炒Cooked;特色盆菜Burn;印象苏客Brand;品质套餐Bento;原味蒸品Steam;米饭必点Rice;汤品饮料Drink
8407298,江苏省,南京市,江宁区,吾胃乐满客酸豇豆炒饭（同曦店）,4.7,140.0,月售698,人均 ¥20,美食 中式简餐,http://p1.meituan.net/waimaipoi/95bcb068742d475c492af5483875c9e1154471.jpg,30分钟,由美团快送提供配送服务,0.0,起送 ¥20,免配送费,18914749383;15683002872,南京市江宁区胜太东路8号同曦公寓6-109（江宁开发区）,31.941956,118.823215,08:30-23:00,"新用户立减15元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元;满10减9;满45减21;满80减30;配送费立减2元;折扣商品7折起;满25元赠送云羚辣酱+汇源鲜果饮",当前疫情严峻，禁止骑手入内的小区客户，请确认能到门卫室取餐再下单，请保持电话畅通，方便骑手及时联系您。用餐过程中遇到任何问题，先别着急评价，耽误您1分钟致电：18914749383，如处理结果您不满意，再评价也不晚，大家都不易，且吃且珍惜。,,胜太路,0.0,False,热销;折扣;进店必买;加料|炒入主食中;爽口饮料|单点不配送;双拼酸豇豆炒饭;温馨提示进店必看
8407543,江苏省,南京市,江宁区,天尝哩脊肉串（金鹰店）,0.0,1.0,月售21,,美食 烤物类小吃,http://p0.meituan.net/business/8c781d7410e86501537321bd8d8b897e254110.jpg,30分钟,,1.0,起送 ¥15,免配送费,17327090326,南京市江宁区秣陵街道双龙大道1688号江宁金鹰购物广场B2层AB2-00355,31.932031,118.82093,10:00-20:00,满30减4;满50减8;满70减12;满100减18;满150减25;配送费立减4元,欢迎光临，很高兴为您服务~,,百家湖,0.0,True,天尝大肫串;上腿鸡排;天尝喱脊肉串;网红饮料
8412177,江苏省,南京市,江宁区,花千醉（同曦店）,3.1,186.0,月售149,人均 ¥27,美食 本帮江浙菜,http://p0.meituan.net/business/3aeaddb05ca7ee4edaa1a52d0380873360573.jpg,30分钟,,1.0,起送 ¥20,配送 ¥3.5,025-52750752,南京市江宁区双龙大道1351号,31.942414,118.82222,"10:50-14:00,17:00-21:00",,,点评高分店铺,百家湖,,True,热销;千醉冷韵;招牌推荐;千醉融合美味;汤羹主食;餐具必选
8433955,江苏省,南京市,江宁区,拜托了炒饭（双龙大道店）,4.9,30.0,月售181,人均 ¥15,美食 中式简餐,http://p0.meituan.net/waimaipoi/83ca824546688455abe06e9cc0b97dfa57669.jpg,55分钟,,0.0,起送 ¥20,春节配送 ¥5,18913345392,秣陵街道双龙大道1360号,31.941213,118.821176,10:00-22:00,,欢迎光临，很高兴为您服务~,,胜太路,0.0,True,下单即送;招牌炒饭;炒面;炒饭套餐;炒饭搭配;另加小菜;软饮
51278,江苏省,南京市,江宁区,绝味鸭脖（胜太西路店),4.6,247.0,月售330,人均 ¥29,美食 卤味类小吃,http://p1.meituan.net/waimaipoi/bb937d469c2cb7f44ca572797f295fbb35261.jpg,30分钟,,0.0,起送 ¥25,配送 ¥5.5,13515123155,南京市江宁区秣陵街道胜太西路166号前进工业园内4栋商贸楼3-1号房屋,31.943161,118.788198,09:30-22:45,"新用户立减8元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元;折扣商品6.6折起;满58元赠送绝味吮指鸭排",本店员工今日体温已检测正常 ；店铺在本日清晨已进行消毒，请顾客安心享用 （亲，为了您的安全考虑，小鸭建议您选购时使用无接触配送哦）,“口味赞，味道棒”,胜太路,0.0,True,热销;折扣;镇店单品;新品尝鲜;绝味招牌（正辣）;绝味黑鸭（甜辣）;绝味五香（不辣）;绝味藤椒（麻辣）;绝味素菜（微辣）;一斤鸭货;组合套餐;解辣神器
8440637,江苏省,南京市,江宁区,唐小二汤包店（馄饨•面条•牛肉汤）,0.0,4.0,月售19,人均 ¥20,美食 包子/生煎,http://p0.meituan.net/waimaipoi/304eb7e0f3dd3450aa6fb8c0c532100e22528.jpg,35分钟,,1.0,起送 ¥15,免配送费,18755518832,南京市江宁开发区第一城花园07幢101-106,31.944678,118.814356,07:00-21:30,满22减7;满35减9;满46减12;配送费立减2元;折扣商品3.67折起,本店馄饨均为手工包的！新店开业大力度优惠！有任何问题联系店铺解决，联系电话18755518832！不要轻易差评哦~,,胜太路,0.0,True,折扣;进店必买;店长推荐;大馄饨;小馄饨;粉丝系列;千张系列;米线系列;特色面条;另加系列;烧饼锅巴;生馄饨;调味料
