,e_name,e_category,e_type
0,同曦鸣城,生活服务 小区,1
1,饮舀,美食 日本料理,0
2,FUNALA,购物 鞋靴,0
3,BASIC HOUSE,购物 快时尚,0
4,百家湖·印象威尼斯,生活服务 小区,1
5,ONLY,购物 快时尚,0
6,胜利路1号小区,生活服务 小区,1
7,谁的咖啡,美食 咖啡厅,0
8,家里味土菜馆,美食 苏北土菜,0
9,小米粒手机潮品,购物 数码产品,0
10,D岸U茶,休闲娱乐 茶馆,0
11,THENORTHFACE,购物 服装,0
12,三味蔬屋,美食 水果生鲜,0
13,黄胜记三汁焖锅,美食 其他美食,0
14,阳澄湖大闸蟹,美食 大闸蟹,0
15,巴莱大厦,生活服务 商务楼,1
16,中航樾府三期,生活服务 小区,1
17,西北拉面,美食 面馆,0
18,傻子瓜子,美食 更多食品保健,0
19,宁禾培学,教育培训 中小学综合辅导,0
20,三色商务楼,生活服务 商务楼,1
21,闺蜜衣橱,购物 服装,0
22,金吉鸟健身瑜伽馆,丽人 瑜伽,0
23,圣歌雅乐器,教育培训 西洋乐器,0
24,贝稚堂家政服务,亲子 月嫂,0
25,Kids Eden,购物 更多购物场所,0
26,锐码IT培训,教育培训 IT/互联网,0
27,诺曼底精品酒店公寓,酒店 经济型,0
28,漫途—南京南站、百家湖1912、地铁3号线胜太西路站，“百家湖”家庭房,其它 榛果民宿,0
29,initial,购物 服装,0
30,聚朋超市,购物 超市/便利店,0
31,瑞丰大厦,生活服务 商务楼,1
32,南农食品,美食 更多食品保健,0
33,一可药店,医疗健康 药店,0
34,托乐嘉友邻居-3幢,生活服务 小区,1
35,太平花苑104栋207室,生活服务 小区,1
36,小时光,美食 甜品,0
37,李盛烟酒庄园,购物 烟酒茶叶,0
38,锁保镖开锁换锁,生活服务 开锁换锁,0
39,伍妹面饭馆,美食 面馆,0
40,苗小坛酸汤鱼捞饭,美食 其他中餐,0
41,Ray&Bruce,购物 服装,0
42,游姐毛线编织中心,亲子 冬夏令营,0
43,水韵沐足,休闲娱乐 按摩/足疗,0
44,飞贷,生活服务 保险公司,0
45,仟味麻辣烫,美食 麻辣烫,0
46,美美公社,丽人 美发,0
47,鼎烹小炒,美食 快餐简餐,0
48,白龙桥路停车场,爱车 停车场,0
49,执华小店,购物 超市/便利店,0
50,新鸿书院,亲子 少儿围棋,0
51,梧桐林创聚广场,生活服务 商务楼,1
52,三菱电机中央空调,家装 家用电器,0
53,大圣农家菜,美食 苏北土菜,0
54,正德职业技术学院-东北门,教育培训 大学,1
55,富宁电动工具,家装 电工电料,0
56,啄木鸟,购物 鞋靴,0
57,千子莲足道,休闲娱乐 按摩/足疗,0
58,沙拉拉轻食,美食 麻辣烫,0
59,双汇鲜肉专卖店,购物 超市/便利店,0
60,上海小南国,美食 上海本帮菜,0
61,南京聚汇品质派对定制独栋别墅百家湖店,酒店 经济型,0
62,1号地铁沿线百家湖金鹰南京南站旁至尊豪华套房公寓,其它 榛果民宿,0
63,21世纪世纪园,生活服务 小区,1
64,砂锅小镇,美食 快餐简餐,0
65,托乐嘉睦邻居,生活服务 小区,1
66,IWC,购物 钟表,0
67,湖畔水竹苑,生活服务 小区,1
68,哈哈镜,美食 小吃,0
69,百家湖健身加游泳馆,运动健身 游泳馆,0
70,强记兄弟酸菜鱼,美食 酸菜鱼/水煮鱼,0
71,银江苑,生活服务 小区,1
72,品香椒麻鸡,美食 新疆菜,0
73,恩佐美容护肤造型养生,丽人 美发,0
74,s轻奢皮肤管理中心,丽人 祛痘,0
75,托乐嘉旺邻居停车场,爱车 停车场,0
76,伟昌铝材,家装 家用五金,0
77,涂奈克墙面定制,家装 油漆涂料,0
78,royaltea皇茶 盼盼的店,美食 茶饮果汁,0
79,柳卡图文印刷,生活服务 广告印刷,0
80,前海开心购跨境商品保税直购商城,购物 综合商场,1
81,汇源电池小胖车行,购物 自行/电动车及配件,0
82,BEAR TWO,购物 其他服饰鞋包,0
83,依菲特脂肪管理,丽人 瘦身纤体,0
84,超级泰·泰式麻辣烫,美食 麻辣烫,0
85,STN,购物 服装,0
86,艾沐堂养生会所,休闲娱乐 按摩/足疗,0
87,汗蒸美容养发馆,休闲娱乐 洗浴/汗蒸,0
88,瑞鑫典当,生活服务 典当行,0
89,益家健身会所,运动健身 健身房,0
90,naturino,亲子 母婴购物,0
91,泉隐の谧日式美肌沙龙,丽人 皮肤管理,0
92,海酷海鲜平价大市场,美食 海鲜,0
93,凤凰传奇,美食 湘菜,0
94,Blue Marlin,美食 西餐,0
95,香浓花情·百花缘店,购物 花店,0
96,高尔夫西花园,生活服务 小区,1
97,蓉婆婆耗儿鱼,美食 川菜家常菜,0
98,江宁名医诊所,医疗健康 综合诊所,0
99,樱寿司奶茶鸡排炒酸奶,美食 日式自助,0
100,枫情佳园,生活服务 小区,1
101,金轮第一城,生活服务 小区,1
102,酷奇奶茶,美食 茶饮果汁,0
103,秀红服饰,购物 服装,0
104,香榭咖啡厅,美食 咖啡厅,0
105,耘鼎记蘑菇组,美食 火锅,0
106,克莉丝汀,美食 面包烘焙,0
107,揽翠苑,生活服务 小区,1
108,翠屏紫气云谷,生活服务 小区,1
109,维衣,购物 更多购物场所,0
