index,name,latitude,longitude,address,postalcode
fsq_13,The Fun Zone,40.4559534460421,-79.99186027147536,1 Heinz St,15212
fsq_24,Renaissance Club Lounge,40.44389183446484,-80.00245430517012,,
fsq_34,Litchfield Towers,40.4427294693596,-79.95638629987116,3990 5th Ave,15213
fsq_47,Flag Plaza and Pittsburgh Scout Center,40.44361477143917,-79.99022364129955,1275 Bedford Ave,15219
fsq_53,Liberty Center,40.444228368019495,-79.99400102559422,1001 Liberty Ave,
fsq_71,Dormont Recreation Center,40.3969604047825,-80.04376888275146,1801 Dormont Ave,15216
fsq_82,Foster Plaza Building XI,40.425503,-80.062884,,
fsq_88,Braddock Dock,40.394851323185655,-79.86640353835327,,
fsq_110,ACLD Tillotson School,40.36003921735199,-79.97089229812515,4845 Girard Rd,15227
fsq_132,youngs field,40.47307941988888,-80.03211072897979,,15212
fsq_145,Arsenal Docks,40.478458,-79.954172,5128 Carnegie St,15201
fsq_149,Olympia St,40.43494639073196,-80.01673782405544,,15211
fsq_150,Herschel Field,40.440254705321294,-80.0440588776352,,15220
fsq_169,Manor Building,40.43850300860432,-79.99326924312089,,
fsq_177,West Penn Field,40.454104314875394,-79.9739490731401,Brereton St & 30th St,15219
fsq_191,cardinal wright school,40.457971868250446,-80.00752151029589,,15212
fsq_200,malaika learning center,40.47457800430084,-80.03186508963583,,15212
fsq_220,8th Avenue - West Homestead,40.40628164833325,-79.91262111531559,,15120
fsq_240,Grand Station IV,40.43410873413086,-80.00651550292969,,
fsq_285,2715 Murray avenue,40.4288215637207,-79.92379760742188,,
fsq_288,PNC Tower,40.44050952177477,-80.00024468023642,"Fifth Avenue, Wood Street",
fsq_317,Braddock Community Center,40.401622397798455,-79.86518941113576,416 Library St,15104
fsq_375,UPMC ShadySide Floor 6,40.45425108051032,-79.94043907232556,,15232
fsq_386,Greentree,40.42067338689746,-80.0464985207758,Greentree Commons,15220
fsq_389,Tree Pittsburgh,40.464874,-79.935268,5427 Penn Ave,15206
fsq_405,One Chatham Center Dock,40.43919908932708,-79.99181658206744,701 Fifth Ave,15222
fsq_407,Uviversity Of Pittsburgh CGS,40.44363085073192,-79.95061864601121,,
fsq_409,West Oakland,40.44166914583357,-79.9650907581898,,15213
fsq_414,Reikki Pleasure Palace,40.38846920229694,-80.00829139383993,1612 Eben St,
fsq_442,Washington Blvd and Larimer Ave,40.46738432601845,-79.90874111652374,,
fsq_446,EQT North Shore,40.44597009026794,-80.00788188216572,,15212
fsq_451,Gateway Plaza,40.44142536937985,-80.00542477159168,,15222
fsq_452,2 Gateway Center,40.41715476,-80.02148592,,15222
fsq_455,Roselawn Terrace,40.44222450169548,-79.94212755380663,"Roselawn Ter, Margaret Morrison St",15213
fsq_471,Anime Apartment,40.49046325683594,-80.05040740966797,,15202
fsq_487,Grandview Ave,40.44032514608188,-80.0230085849762,"Grandview Ave, Shaler St",PA 15211
fsq_495,Moda Pittsburgh,40.450779,-79.935026,"5401 Walnut St, At South Aiken Ave.",15232
fsq_506,Carlow University Center,40.4392,-79.9634,"3333 5th Ave, Craft Ave",15213
