index,name,latitude,longitude,address,postalcode
fsq_1,The Tanning Room,40.4276640199404,-79.96889531767987,2520 E Carson St,15203
fsq_2,US Post Office,40.47965811188454,-79.9706473961224,205 Lincoln Ave,15209
fsq_3,D's Six Pax & Dogz,40.43212234194581,-79.89359359378571,1118 S Braddock Ave,15218
fsq_4,Hookah Bookah,40.42775110931912,-79.9695234922293,"2506 E Carson St, S 25th St",15203
fsq_5,Bus Stop For Cedar Ave and East Ohio St,40.452923,-80.001495,,15212
fsq_6,Steel City Vapors,40.36381864419079,-80.02865533824104,,
fsq_7,Conicella's Pizza,40.42541873478205,-79.94306194216907,422 Greenfield Ave,15207
fsq_8,Northwest Bank,40.44991,-79.9511799,201 N Craig St,15213
fsq_9,Tennis Courts @ McKinley Park,40.411904514138165,-80.00126390594674,,15210
fsq_10,PCN Pittsburgh Bureau,40.440358624464,-80.00662057408256,34 Blvd of the Allies,15222
fsq_11,obrien's,40.47659207704662,-80.03154848678797,,15212
fsq_12,Primanti Bros.,40.450767,-79.985545,"46 18th Street, btwn Smallman St & Penn Ave",15222
fsq_14,Residence Inn Pittsburgh North Shore,40.44790640727012,-80.00721037387848,"574 West General Robinson Street, at Tony Dorsett Dr",15212
fsq_15,The Pumpkin Factory,40.44725799560547,-79.96994018554688,,
fsq_16,Philip Pelusi Salons,40.436529701313816,-79.9231445362527,1814 Murray Ave,15217
fsq_17,Heritage Place,40.43132,-79.92509,5701 Phillips Ave,15217
fsq_18,PNC Bank,40.3822,-80.044477,620 Washington Rd,15228
fsq_19,Casbah,40.45818853936788,-79.9250051926058,229 S Highland Ave,15206
fsq_20,Northside Chamber of Commerce,40.456095,-79.993963,"809 Middle St, btwn Shawano St & Foreland St",15212
fsq_21,3 Brothers Plumbing,40.3782947253171,-79.99267944381273,2700 Saw Mill Run Blvd,15227
fsq_22,Allegheny City Brewing Company,40.45428351047638,-80.00034575647264,507 Foreland St.,15606
fsq_23,Auto race,40.38819153411799,-79.86369762669307,,
fsq_25,Daves House,40.422418633333336,-79.99892478333334,Edgemont St,15211
fsq_26,Cool Beans Coffee,40.43831,-79.999903,444 Liberty Ave,15222
fsq_27,Green Pepper,40.434075199837416,-79.92300496729638,2020 Murray Ave,15217
fsq_28,Greentree Hardware,40.41170936622103,-80.04608685037302,1079 Greentree Rd,15220
fsq_29,Armstrong,40.43340301513672,-79.99240112304688,,
fsq_30,Target Optical,40.4106952,-79.9100062,360 E Waterfront Dr,15120
fsq_31,new hope baptist church,40.40458301931873,-79.86723482301724,445 6th St,15104
fsq_32,Rockwood Park,40.36337995,-80.03530619,735-825 Vallevista Ave,15234
fsq_33,Andy Warhol Museum,40.44860254746484,-80.00245895097605,"117 Sandusky St, at E General Robinson St",15212
fsq_35,Pittsburgh POS,40.421738,-80.04912,100 Fleet St,15220
fsq_36,Micro Diner,40.43002324495911,-80.00741029361426,221 Shiloh St,15211
fsq_37,Swanson School of Engineering,40.4437659659039,-79.95831127847067,"3700 5th Ave, University of Pittsburg - Benedum Hall",15213
fsq_38,Brookline Taco Cart,40.39474475603627,-80.02143842253003,,
fsq_40,Three Gateway Center,40.4418357509869,-80.00555276870728,401 Liberty Ave,15222
fsq_41,West End Circle,40.44397503607173,-80.02861976623535,"West End, Rt 837",
fsq_42,Gateway Towers,40.44245657834336,-80.00738500540945,320 Fort Duquesne Blvd,15222
fsq_43,Coffee Tree Roasters,40.48829882737943,-79.88288612782611,"48 Fox Chapel Rd, at Freeport Rd",15238
fsq_44,Butterjoint,40.45001653830805,-79.95084830820235,"214 N Craig St, at Bayard St",15213
fsq_45,Sally Beauty Supply,40.43112400339206,-79.97801023787255,", Wharton Square",
fsq_46,Allegheny Podiatry,40.379207789575446,-80.045308725775,,15228
fsq_48,Schenley House,40.44911837934869,-79.9504011063216,151 N Craig St,15213
fsq_49,Episcopal Church of the Epiphany,40.49819990112319,-80.0617897504399,,15202
fsq_50,Squirrel Hill Post Office Parklet,40.436882,-79.92305,"1800 Murray Ave, Darlington Rd",15217
fsq_51,Dairy Queen,40.4664150534922,-79.86517265439034,4237 Verona Rd,15147
fsq_52,Tammys Place,40.4595169,-79.9862329,"1354 Goettman St, troyhill",15212
