osm_index,osm_name,osm_latitude,osm_longitude,osm_address,osm_postalcode,fsq_index,fsq_name,fsq_latitude,fsq_longitude,fsq_address,fsq_postalcode,label
osm_2291,Courtyard by Marriott Pittsburgh Shadyside,40.45602616,-79.93969396,"Liberty Ave, 5308",15224,fsq_2111,Courtyard by Marriott Pittsburgh Shadyside Pool,40.456238,-79.939754,5308 Liberty Ave,15224,1
osm_2269,Pennant,40.4114634,-80.0146816,,,fsq_2037,Pennant T Stop,40.41147016,-80.01479566,Platt Ave,,1
osm_489,Department of Human Services Office,40.4369189,-80.0009491,,,fsq_1005,Department of Human Services,40.437044,-80.000729,,,1
osm_765,Bouquet Gardens Building H,40.44076534,-79.95494685,,,fsq_501,Bouquet Gardens Building H,40.44061458,-79.95577628,,15213,1
osm_1217,Hampton Inn Pittsburgh University/Medical Center,40.43607029,-79.96299436,,,fsq_850,Hampton Inn Pittsburgh Univercity Center,40.43598911,-79.96308535,3315 Hamlet Pl,15213,1
osm_1785,Trees Field,40.4480278,-79.9639128,,,fsq_2192,Trees Field,40.44805745,-79.96416092,5th Ave,15261,1
osm_585,Mellon Institute,40.44611828,-79.95107121,"Fifth Avenue, 4400",15213,fsq_887,Mellon Institute,40.44621219,-79.95116581,Carnegie Mellon University,15213,1
osm_325,Century Building,40.4436235,-80.00105435,130,15222,fsq_856,Century Building,40.443702,-80.000684,130 Seventh Street,,1
osm_381,Tunnel Park,40.42839975,-79.96508498,,,fsq_1523,Tunnel Park,40.42885909,-79.96545149,,,1
osm_1375,Starbucks,40.419039,-80.045686,,,fsq_1129,Starbucks,40.41901278,-80.04569755,"971 Greentree Road, at E Manilla Ave",15220,1
osm_2296,Saint Joseph Cemetery,40.39767184,-80.09296341,,,fsq_332,St Joseph Cemetery,40.39788725,-80.09287139,,,1
osm_1769,Swissvale Station,40.4153018,-79.87908275,,,fsq_790,Swissvale Station,40.41530221,-79.87896849,,15218,1
osm_177,Minadeo Elementary School,40.4237471,-79.9248343,,,fsq_1864,Minadeo Elementary School,40.42365324,-79.92537244,"6502 Lilac St, Saline St",15217,1
osm_1559,The Pitt Shop,40.4430896,-79.9554318,,,fsq_1408,The Pitt Shop,40.44238786,-79.95581453,,,1
osm_247,Children's Museum of Pittsburgh,40.45265796,-80.00666518,,,fsq_2055,Children's Museum of Pittsburgh,40.45279328,-80.00656894,10 Childrens Way,15212,1
osm_1363,CVS,40.45200825,-79.95097174,,,fsq_124,CVS,40.45185573,-79.9515674,"4725 Centre Ave, at Craig St",15213,1
osm_955,East Liberty Station,40.45898579,-79.92302383,,,fsq_1269,East Liberty Station,40.45941543,-79.92306455,at Ellsworth Ave.,,1
osm_507,West Wing,40.44301522,-79.94083193,"Margaret Morrison Street, 5125",,fsq_263,West Wing Lounge,40.44296941,-79.94071229,West Wing House,15217,1
osm_1347,Denny's,40.3909249,-80.0740616,,,fsq_1089,Denny's,40.39114,-80.073788,2180 Greentree Rd,15220,1
osm_1667,Lincoln Elementary School,40.38907735,-80.04792406,,,fsq_2471,Lincoln Elementary School,40.38839694,-80.04805396,"2 Ralston Pl, Beverly Rd",15216,1
osm_1859,Frick Fine Arts Building,40.44167666,-79.95104754,,,fsq_726,Frick Fine Arts Building,40.44185687,-79.95110626,"104 Frick Fine Arts Building, Schenley Drive",15260,1
osm_345,Sto-Rox Neighborhood Family Health Center,40.4649338,-80.06307263,"Thompson Avenue, 710",15136,fsq_2043,Sto-Rox Family Health Center,40.465069,-80.062517,710 Thompson Ave,15136,1
osm_2324,Subba Asian Restaurant,40.452902,-80.0015924,,,fsq_614,Subba Asian Restaurant,40.45331366,-80.00159486,700 Cedar Ave,15212,1
osm_1065,Oakwood Apartments,40.4405859,-79.95599231,,,fsq_1765,Oakwood Apartments,40.44057013,-79.9559608,"236 Oakland Ave, Sennott Street",15213,1
osm_653,Penn Station,40.4440295,-79.9920299,,,fsq_266,Penn Station,40.44392372,-79.99212241,East Busway,15222,1
osm_2018,Jefferson Middle School,40.38191958,-80.06095291,"Moffett Street, 21",,fsq_1803,Jefferson Middle School,40.3823578,-80.0609934,900-914 Ruth,,1
osm_1783,Pittsburgh Ballet Theatre,40.4574971,-79.9729665,,,fsq_300,Pittsburgh Ballet Theatre,40.45737908,-79.97281569,2900 Liberty Ave,15201,1
osm_436,Cogos,40.3923617,-80.0169381,"Brookline Boulevard, 1001",15226,fsq_1614,Cogo's,40.39226631,-80.01723465,Brookline Blvd,,1
osm_1819,Mary Anne's Breakfast-N-Lunch,40.48593604,-80.0750671,"Island Avenue, 1460",,fsq_1768,Mary Anne's Breakfast & Lunch,40.48594138,-80.0746886,1460 Island Ave,15136,1
osm_1606,Allegheny Station,40.44807381,-80.01788315,,,fsq_902,Allegheny Station,40.4479289,-80.01810272,,,1
osm_1825,Killarney,40.3740868,-80.008094,,,fsq_2074,Killarney T Station,40.37391032,-80.00778009,1000 Killarney Dr,15234,1
osm_1432,East Ohio St at Grant Ave,40.4779497,-79.96894195,,,fsq_1865,East Ohio St and Grant Ave PATransit Stop,40.47831167,-79.96916067,,,1
osm_2254,Saint Simon and Jude Church,40.4005623,-80.0640326,,,fsq_448,St. Simon and Jude Church,40.40050344,-80.06315939,"1651 Greentree Rd, Greentree Drive",15220,1
osm_1669,Westfield,40.4104747,-80.0201132,,,fsq_1335,Westfield T,40.4104171,-80.01991769,1637 Suburban Ave,15216,1
osm_1573,First National Bank,40.44801023,-80.00407969,,,fsq_697,First National Bank,40.448128,-80.004096,"100 Federal St, Isabella St.",15212,1
osm_508,Saint Michaels Cemetery,40.4190823,-79.98391458,,,fsq_1463,St. Michael's Cemetery,40.41864412,-79.98626239,S. 18th st.,,1
osm_667,Roosevelt Elementary School,40.3977714,-79.9889307,,,fsq_1184,Roosevelt Elementary School,40.40134227,-79.98659104,,,1
