,e_name,e_category,e_type
0,Tessaro's,"4601 Liberty Ave, at Taylor St.",0
1,Shadyside Plaza,195 S Highland Ave,0
2,The Eddy Theater,,0
3,Advance Auto Parts,1937 Wharton Street,0
4,Western PA School for the Deaf,300 E Swissvale Ave,0
5,Pittsburgh Flea,"2088 Railroad St, ""at Railroad & 21st""",0
6,The Humble Barber,"3598 Brighton Road, Davis Avenue",0
7,Murray Avenue,,1
8,Evergreen Ave at North Ave,,1
9,Mitchells Pittsburgh PA,,1
10,Morgan at North Shore Apartments,100 Anderson St,0
11,Consignments On Centre,5503 Centre Ave,0
12,Nu-Life Cleaners,"5613 Hobart St, Wightman",0
13,El Burro,1108 Federal St,0
14,Moda Pittsburgh,"5401 Walnut St, At South Aiken Ave.",1
15,Three PNC Plaza,"225 5th Ave, Market St",0
16,Washington Blvd and Larimer Ave,,1
17,Pool,,0
18,Evergreen Ave,,1
19,James Dean Auto,579 Jacks Run Rd,0
20,Brentwood Park,,0
21,P&G Pamela's Diner,"427 Washington Rd, at Bower Hill Rd.",0
22,Jack Maggs Agency,1700 Saw Mill Run Blvd Rt 51,0
23,Torch & Dagger Tattoo,"3703 Butler St, 37th",0
24,Allegheny Ave,,1
25,Amberson Plaza,"5030 Centre Ave, Morewood Ave.",0
26,Pittsburgh Parking Court,"240 4th Ave, at Parking Authority Garage",0
27,Clearview Federal Credit Union,1839 McKees Rocks Rd,0
28,BP,100 Fox Chapel Rd,0
29,Venice Pizzeria,4144 Saw Mill Run Blvd,0
30,Community Bank,714 Brookline Blvd,0
31,Allegheny Traditional Academy Auditorium,"810 Arch St, Ridge Avenue",0
32,Hillman Cancer Center,5115 Centre Ave #2,0
33,Pittsburgh Transportation Group,"1825 Liverpool St, Preble Ave.",0
34,2 Gateway Center,,1
35,Squirrel Hill South,,1
36,imadeit Market,,1
37,Woodland Hall,1035-1163 Murrayhill Ave,0
38,Roosevelt Elementary School,,0
39,Laughlin House Chatham University,,1
40,Brookline Blvd,,1
41,Joe Natoli Field,,0
42,Scaife Hall LR2,3550 Terrace St,0
43,Bower Hill Community Church,Moffit and Pinoak,0
44,Chatham University Residence Life,,0
45,Squirrel Hill Post Office Parklet,"1800 Murray Ave, Darlington Rd",0
46,Crazy Mocha,4525 Liberty Ave,0
47,Bloomers Laundromat,,0
48,Brashear High School,590 Crane Ave,0
49,schenley heights,900 Bryn Mawr Rd,0
50,Millvale Waterfront Park,Riverfront,0
51,Roberto Clemente Bridge,Roberto Clemente Bridge,1
52,Gateway Plaza,,1
53,Jons House,5156 Wilkins,0
54,Arsenal Docks,5128 Carnegie St,1
55,31st Street Bridge,"31st St Bridge, betw E Ohio and Penn",0
56,Shadyside Place,580 S Aiken Ave,0
57,Mandarin Gourmet,305 Wood St,0
58,North Shore Amphitheatre,", North Shore",0
59,Brookline Libary,,0
60,Barrister's Ball,,0
61,August Wilson Block Party,,0
62,Scobell House,"Margaret Morrison St, Carnegie Mellon University",0
63,Denham Street,,1
64,Chatham University Falk Hall,Woodland Rd.,0
65,Stanton Avenue,"5000 Stanton Ave, Butler",1
66,Shiloh Street,,1
67,Quiznos,"300 S Craig St, Filmore St",0
68,Dormont Public Library,2950 W Liberty Ave,0
69,Ace Hotel Pittsburgh,"120 S Whitfield St, Mignonette",0
70,History Center Parking Lot,"Smallman Street, 11th",0
71,Dormont Vision Center,"2893 W Liberty Ave, btw Tennessee & Illinois",0
72,Dukes Bro House,1700-1798 Pennsylvania 837,0
